% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 67.35    0.000462           0      1291           write
 11.81    0.000081           6        12           mmap
  7.87    0.000054          13         4           openat
  3.94    0.000027           6         4           mprotect
  1.90    0.000013          13         1           munmap
  1.60    0.000011           2         5           fstat
  1.02    0.000007           1         4           close
  0.87    0.000006           3         2           read
  0.87    0.000006           2         3           brk
  0.58    0.000004           2         2           pread64
  0.44    0.000003           3         1           set_robust_list
  0.44    0.000003           3         1           prlimit64
  0.44    0.000003           3         1           getrandom
  0.29    0.000002           2         1           arch_prctl
  0.29    0.000002           2         1           set_tid_address
  0.29    0.000002           2         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.000686           0      1336         1 total
